-0.9112587422429763+0.09546479780645849i
-0.9112587422429763-0.09546479780645849i
-0.843669690972898+0.305625552546726i
-0.843669690972898-0.305625552546726i
-0.7164801944243903+0.4576919428496339i
-0.7164801944243903-0.4576919428496339i
-0.5579316275660516+0.6351760208376485i
-0.5579316275660516-0.6351760208376485i
-0.248632714891464+0.8087181083957978i
-0.248632714891464-0.8087181083957978i
0.04460253206497039+0.8603058165413096i
0.04460253206497039-0.8603058165413096i
0.3203027143276498+0.780555342630517i
0.3203027143276498-0.780555342630517i
0.5771646227408138+0.6705451244613281i
0.5771646227408138-0.6705451244613281i
0.4202113034916331+0.2911897896537228i
0.4202113034916331-0.2911897896537228i
0.7262093760559029+0.4612607412369146i
0.7262093760559029-0.4612607412369146i
0.7987365103909849+0.2805693302411576i
0.7987365103909849-0.2805693302411576i
0.881621197075785+0i
0.9999997874187068+0i
