-0.05169349120610054-0.06129334143449943i,-0.05169349120610054+0.06129334143449943i,-0.07729651490379866-0.1265617008130929i,-0.07729651490379866+0.1265617008130929i,0.02881806147986404-0.03136647970938303i,0.02881806147986404+0.03136647970938303i,-0.007798078896556906-0.115936944090498i,-0.007798078896556906+0.115936944090498i,0.05293819608563004+0i,0.03612149715424799-0.08715528444789425i,0.03612149715424799+0.08715528444789425i,0.07510887262952567-0.1281668351055493i,0.07510887262952567+0.1281668351055493i,0.1139560105975928-0.1563672900909835i,0.1139560105975928+0.1563672900909835i,0.1474668392156703-0.1444634004274678i,0.1474668392156703+0.1444634004274678i,0.1751181507325011-0.07577701462946683i,0.1751181507325011+0.07577701462946683i,-0.2054795570247588+0.05462308228085223i,-0.2054795570247588-0.05462308228085223i,-0.2198581011543328-0.01013248443036543i,-0.2198581011543328+0.01013248443036543i,-0.2275353580736969+0i
-0.1468754781930837+0.1034196699128507i,-0.1468754781930837-0.1034196699128507i,-0.1949734243243952+0.063726249619242i,-0.1949734243243952-0.063726249619242i,-0.1237778316844679-0.008552360928829951i,-0.1237778316844679+0.008552360928829951i,-0.1739010417340599-0.0105793529552293i,-0.1739010417340599+0.0105793529552293i,0.179580750571295+0i,-0.1126965086765542+0.08904625132733981i,-0.1126965086765542-0.08904625132733981i,-0.07599938335547227+0.05455240725332756i,-0.07599938335547227-0.05455240725332756i,-0.0875854715099761-0.002870998636474321i,-0.0875854715099761+0.002870998636474321i,-0.1116235602459407-0.05354316685481232i,-0.1116235602459407+0.05354316685481232i,-0.1515911787496755-0.09552782119813656i,-0.1515911787496755+0.09552782119813656i,0.1902881408548129+0.06205500068300514i,0.1902881408548129-0.06205500068300514i,0.1807483135969805+0.04362785971586029i,0.1807483135969805-0.04362785971586029i,0.1892387724340904+0i
0.2469274261934537+0.1002923607569459i,0.2469274261934537-0.1002923607569459i,0.3221144081013904+0i,0.3221144081013904-0i,0.4416702338920687+0i,0.4416702338920687-0i,0.4215839307097783+0i,0.4215839307097783-0i,-0.6448455263795363+0i,0.1908170893377408+0.1677865387104129i,0.1908170893377408-0.1677865387104129i,0.1135562024183852+0.2019772479311655i,0.1135562024183852-0.2019772479311655i,0.02916280328563248+0.2401151297671656i,0.02916280328563248-0.2401151297671656i,-0.08664474061371093+0.2046719951783692i,-0.08664474061371093-0.2046719951783692i,-0.2515508976083634+0.08559397528836593i,-0.2515508976083634-0.08559397528836593i,0.3482527150329101-0.08986143977653474i,0.3482527150329101+0.08986143977653474i,0.373733158324233+0i,0.373733158324233-0i,0.3793761522037409+0i
0.3465124442799731+0i,0.3465124442799731-0i,0.3198319197723002-0.02194994554919129i,0.3198319197723002+0.02194994554919129i,0.2293565215730676+0.02312699177716753i,0.2293565215730676-0.02312699177716753i,0.300349853842076+0.03249080735562273i,0.300349853842076-0.03249080735562273i,-0.3471648236093058+0i,0.3864636772321968+0i,0.3864636772321968-0i,0.4050309139239591+0i,0.4050309139239591-0i,0.4651235968736089+0i,0.4651235968736089-0i,0.4760301924994832+0i,0.4760301924994832-0i,0.4136177163666555+0i,0.4136177163666555-0i,-0.3782070247434223+0i,-0.3782070247434223-0i,-0.3429028446934903-0.04561171549366921i,-0.3429028446934903+0.04561171549366921i,-0.343528967116594+0i
0.07410071735925933-0.009963277058549299i,0.07410071735925933+0.009963277058549299i,0.1252256025149611+0.04391436246873031i,0.1252256025149611-0.04391436246873031i,-0.02159434322674498+0.03164548725971527i,-0.02159434322674498-0.03164548725971527i,0.04887531198628233+0.0869985039271445i,0.04887531198628233-0.0869985039271445i,-0.03480782857571312+0i,0.06557466018875734+0.05679219816730264i,0.06557466018875734-0.05679219816730264i,0.1132596143569546+0.07508525680413883i,0.1132596143569546-0.07508525680413883i,0.1480637419310463+0.07287426771036359i,0.1480637419310463-0.07287426771036359i,0.1595551083113211+0.06871694261037536i,0.1595551083113211-0.06871694261037536i,0.1479878489554719+0.07132923742710273i,0.1479878489554719-0.07132923742710273i,-0.1626919162128997-0.06419326733659347i,-0.1626919162128997+0.06419326733659347i,-0.1753619280186615-0.05480630695727524i,-0.1753619280186615+0.05480630695727524i,-0.1886391031966267+0i
-0.007787856077778735-0.1673225949441356i,-0.007787856077778735+0.1673225949441356i,0.09899758091974756-0.1545648805705107i,0.09899758091974756+0.1545648805705107i,0.1112788008850079-0.008394142972968095i,0.1112788008850079+0.008394142972968095i,0.1387238309506134-0.05604167387931422i,0.1387238309506134+0.05604167387931422i,-0.1180776158536366+0i,-0.04501918986459746-0.1241577850652398i,-0.04501918986459746+0.1241577850652398i,-0.04597943723645656-0.07217373086820027i,-0.04597943723645656+0.07217373086820027i,-0.01040278408476288-0.07401516613346514i,-0.01040278408476288+0.07401516613346514i,0.006064302202974666-0.1040060662746307i,0.006064302202974666+0.1040060662746307i,-0.02319987333452155-0.1525133573233886i,-0.02319987333452155+0.1525133573233886i,0.09565371444575511+0.1340082954330538i,0.09565371444575511-0.1340082954330538i,0.1366817777903033+0.07355602127837846i,0.1366817777903033-0.07355602127837846i,0.1568891649377636+0i
-0.2025539175811449+0.1439964053171685i,-0.2025539175811449-0.1439964053171685i,-0.2231739728083998+0.1824122176741004i,-0.2231739728083998-0.1824122176741004i,-0.3931242322618461+0.0571151014536144i,-0.3931242322618461-0.0571151014536144i,-0.3268299845798936+0.1557432816431205i,-0.3268299845798936-0.1557432816431205i,0.4239976840866926+0i,-0.2017396673005752+0.1178464199691723i,-0.2017396673005752-0.1178464199691723i,-0.1902201253475601+0.09349561702663378i,-0.1902201253475601-0.09349561702663378i,-0.1974935799765823+0.05963728103908836i,-0.1974935799765823-0.05963728103908836i,-0.1870240432957409-0.002140335868998251i,-0.1870240432957409+0.002140335868998251i,-0.1974368853820027-0.1155633672544667i,-0.1974368853820027+0.1155633672544667i,0.274408880125299+0.1105940122347556i,0.274408880125299-0.1105940122347556i,0.3017475628662625+0.0792578559584422i,0.3017475628662625-0.0792578559584422i,0.3145233238990541+0i
-0.1735417106233085+0.2725556057489752i,-0.1735417106233085-0.2725556057489752i,-0.2091623976654308+0.1963274685305772i,-0.2091623976654308-0.1963274685305772i,-0.2071375879989371+0.009074508092723981i,-0.2071375879989371-0.009074508092723981i,-0.2448470056408243+0.08576821642725715i,-0.2448470056408243-0.08576821642725715i,0.228267197623505+0i,-0.1120680185428995+0.3372175205308344i,-0.1120680185428995-0.3372175205308344i,-0.02049443415746568+0.369931573322957i,-0.02049443415746568-0.369931573322957i,0.06805518733590871+0.3908275351494761i,0.06805518733590871-0.3908275351494761i,0.1519369026290982+0.3706640849816291i,0.1519369026290982-0.3706640849816291i,0.2330058663067671+0.269301183443231i,0.2330058663067671-0.269301183443231i,-0.2503510320553754-0.1847059153744236i,-0.2503510320553754+0.1847059153744236i,-0.2671826373589396-0.1095459884918809i,-0.2671826373589396+0.1095459884918809i,-0.2848040710136515+0i
-0.02927461452670451+0.06327510140653358i,-0.02927461452670451-0.06327510140653358i,-0.1116299381582972+0.0404891454738328i,-0.1116299381582972-0.0404891454738328i,0.01512853679982888-0.03095968425866073i,0.01512853679982888+0.03095968425866073i,-0.07002959034222199-0.04938925964718822i,-0.07002959034222199+0.04938925964718822i,0.02288678156309731+0i,-0.0685708594278308+0.0407498456620477i,-0.0685708594278308-0.0407498456620477i,-0.07430938690695202+0.09964542481522239i,-0.07430938690695202-0.09964542481522239i,-0.03956962161025921+0.1350756221942168i,-0.03956962161025921-0.1350756221942168i,-0.002580915495058267+0.1461713747175772i,-0.002580915495058267-0.1461713747175772i,0.03692537406203342+0.1365353353688756i,0.03692537406203342-0.1365353353688756i,-0.07634234965961627-0.1219464658757572i,-0.07634234965961627+0.1219464658757572i,-0.1299622549802985-0.08143906770817114i,-0.1299622549802985+0.08143906770817114i,-0.1563920067460549+0i
0.1355109458879221+0.07767347454922822i,0.1355109458879221-0.07767347454922822i,0.01893997615033054+0.1631508104318545i,0.01893997615033054-0.1631508104318545i,-0.09796213898352379+0.02186165213997099i,-0.09796213898352379-0.02186165213997099i,-0.08684152944367797+0.09469384664863764i,-0.08684152944367797-0.09469384664863764i,0.07763818405549962+0i,0.1213914647162187-0.003278814279740193i,0.1213914647162187+0.003278814279740193i,0.06824581386617386-0.03834296407588574i,0.06824581386617386+0.03834296407588574i,0.06067032873325867-0.0195707345760078i,0.06067032873325867+0.0195707345760078i,0.0829205905497143-0.02847411939590596i,0.0829205905497143+0.02847411939590596i,0.08623015799921542-0.1010214471910319i,0.08623015799921542+0.1010214471910319i,-0.002128777869341925+0.1354203348974264i,-0.002128777869341925-0.1354203348974264i,0.09475611143491633+0.0883744299254373i,0.09475611143491633-0.0883744299254373i,0.1300695928126548+0i
