-0.5008238909973787+0.7865680158048144i
-0.5008238909973787-0.7865680158048144i
-0.6928407025436508+0.5662963626783275i
-0.6928407025436508-0.5662963626783275i
-0.8900854123620058+0.1293161663857376i
-0.8900854123620058-0.1293161663857376i
-0.7752429843083494+0.3694241414299425i
-0.7752429843083494-0.3694241414299425i
-0.6575182221813847+0i
-0.2899833157556132+0.8725723538779697i
-0.2899833157556132-0.8725723538779697i
-0.05059967882183323+0.9133415761751156i
-0.05059967882183323-0.9133415761751156i
0.1463163507363429+0.8402659804328904i
0.1463163507363429-0.8402659804328904i
0.3191749284458728+0.7786566709884285i
0.3191749284458728-0.7786566709884285i
0.5633362815151184+0.651087157989398i
0.5633362815151184-0.651087157989398i
0.6619417823484751+0.4883725137039134i
0.6619417823484751-0.4883725137039134i
0.8073877207450796+0.2120707092563666i
0.8073877207450796-0.2120707092563666i
0.8290540195318913+0i
