0.9619819483078182+0i
0.8865141924282365+0.1436801773324086i
0.8865141924282365-0.1436801773324086i
0.7195938818024058+0.6829367084284872i
0.7195938818024058-0.6829367084284872i
0.7265490277962148+0.5634982856611488i
0.7265490277962148-0.5634982856611488i
0.6485312502937348+0.615445542978601i
0.6485312502937348-0.615445542978601i
0.1815051632028463+0.9264504885884001i
0.1815051632028463-0.9264504885884001i
-0.6437485892280268+0.7418494872001735i
-0.6437485892280268-0.7418494872001735i
-0.3867497809107517+0.8859773644932533i
-0.3867497809107517-0.8859773644932533i
-0.4504061211252571+0.8341695613290228i
-0.4504061211252571-0.8341695613290228i
-0.1561564993208628+0.8513706294433376i
-0.1561564993208628-0.8513706294433376i
0.4735552088410269+0i
-0.1939743820796694+0.4740811181612627i
-0.1939743820796694-0.4740811181612627i
-0.2347985964321018+0.2888942021948278i
-0.2347985964321018-0.2888942021948278i
