-0.8676223461294271+0.2105594941089617i
-0.8676223461294271-0.2105594941089617i
-0.6844583298359651+0.5891979729581391i
-0.6844583298359651-0.5891979729581391i
-0.7152057802146589+0i
-0.3313250998141784+0.8644677127477447i
-0.3313250998141784-0.8644677127477447i
-0.4740850495094862+0.4468354985061108i
-0.4740850495094862-0.4468354985061108i
0.09370126911970353+0.965950034693881i
0.09370126911970353-0.965950034693881i
-0.1563042736023557+0.6770675102366297i
-0.1563042736023557-0.6770675102366297i
0.4217872643733496+0.884726700300963i
0.4217872643733496-0.884726700300963i
0.6652304069605046+0.7241986862617839i
0.6652304069605046-0.7241986862617839i
0.8347400001229808+0.4995050792389191i
0.8347400001229808-0.4995050792389191i
0.9276497462256071+0.1823590173051987i
0.9276497462256071-0.1823590173051987i
0.9999990143620641+0i
0.6910396103023491+0i
0.2033161346376724+0i
