-0.8128351943226988+0.2092711652581154i
-0.8128351943226988-0.2092711652581154i
-0.7121116270532986+0i
-0.6459043010880907+0.4618486314578498i
-0.6459043010880907-0.4618486314578498i
-0.5416637104584671+0.6404164962858394i
-0.5416637104584671-0.6404164962858394i
-0.1592159625914464+0.8495671314940345i
-0.1592159625914464-0.8495671314940345i
0.2004359024846447+0.8300818648589471i
0.2004359024846447-0.8300818648589471i
-0.1884370492556293+0.6746285148739872i
-0.1884370492556293-0.6746285148739872i
0.4477648787763111+0.7064961072588912i
0.4477648787763111-0.7064961072588912i
0.6699582842940026+0.5262458519689063i
0.6699582842940026-0.5262458519689063i
1.000000191711184+0i
0.8239678069942693+0.1645507801880449i
0.8239678069942693-0.1645507801880449i
-0.05644243936044318+0.2524126071014159i
-0.05644243936044318-0.2524126071014159i
0.465248101458331+0i
0.1554283610626276+0i
