-1.043456488017+0i
-1.009712713653686+0.2885119090312445i
-1.009712713653686-0.2885119090312445i
-0.8995217250354512+0.580888457507469i
-0.8995217250354512-0.580888457507469i
-0.6832112130300754+0.846514248780597i
-0.6832112130300754-0.846514248780597i
-0.378814621539859+1.009217706095946i
-0.378814621539859-1.009217706095946i
-0.03921578663511161+1.05561930872752i
-0.03921578663511161-1.05561930872752i
0.2873582613859024+1.013783254602152i
0.2873582613859024-1.013783254602152i
-0.348565515400479+0i
-0.06099444912803045+0i
0.5666248270541273+0.8661025906236226i
0.5666248270541273-0.8661025906236226i
0.7887916280799425+0.6521620689996372i
0.7887916280799425-0.6521620689996372i
0.9394845321061163+0.3879521092783643i
0.9394845321061163-0.3879521092783643i
0.9472934809409591+0.1072842029221294i
0.9472934809409591-0.1072842029221294i
1.000000389615265+0i
