-0.7772450577917621+1.010613552965207i
-0.7772450577917621-1.010613552965207i
0.1660670033756547+1.186070782555493i
0.1660670033756547-1.186070782555493i
0.6962559515739363+0.6987741087794831i
0.6962559515739363-0.6987741087794831i
0.8725125319126181+0.1646423184564249i
0.8725125319126181-0.1646423184564249i
0.9999999088587448+0i
-1.078529105420225+0i
-0.9212142032284992+0i
-0.03994040719262806+0.6153372718768635i
-0.03994040719262806-0.6153372718768635i
-0.5918165194047611+0i
0.1648129498538172+0.103773561293025i
0.1648129498538172-0.103773561293025i
-0.05643453970990638+0.18067708943555i
-0.05643453970990638-0.18067708943555i
-0.09666887301617459+0.09439217120246152i
-0.09666887301617459-0.09439217120246152i
-0.09109917448712539+0i
0.03444475835933509+0.08724162920961201i
0.03444475835933509-0.08724162920961201i
0.01945392755480442+0i
