1.524598807308088+0.5320225516972426i
1.524598807308088-0.5320225516972426i
0.7419966472937037+1.375773887546318i
0.7419966472937037-1.375773887546318i
-0.3020518981435846+1.505739049996259i
-0.3020518981435846-1.505739049996259i
-1.376464377142611+0.4765934047547449i
-1.376464377142611-0.4765934047547449i
-0.914708531579443+1.006109514144036i
-0.914708531579443-1.006109514144036i
0.9999995067277364+0i
0.564808646545088+0.7287355045064551i
0.564808646545088-0.7287355045064551i
-0.03562607643459496+0.5957100590734717i
-0.03562607643459496-0.5957100590734717i
-0.489641795405571+0i
-0.4237436823545022+0i
-0.277165714958146+0.1030367428178001i
-0.277165714958146-0.1030367428178001i
0.02632584474879319+0.1754343247336917i
0.02632584474879319-0.1754343247336917i
0.1362318520863854+0.03999093532076792i
0.1362318520863854-0.03999093532076792i
0.02633639283065781+0i
