0.7655070265251025+0.2983073303029324i
0.7655070265251025-0.2983073303029324i
0.7222270332414962+0.4076916529538069i
0.7222270332414962-0.4076916529538069i
0.5251894116570811+0.6721764229969655i
0.5251894116570811-0.6721764229969655i
0.3503739461357708+0.8401476954792875i
0.3503739461357708-0.8401476954792875i
0.05021366269610792+0.8857436118352986i
0.05021366269610792-0.8857436118352986i
-0.1308790939772861+0.7900102860777727i
-0.1308790939772861-0.7900102860777727i
0.1332601564666163+0.340700214777914i
0.1332601564666163-0.340700214777914i
-0.5371725978920322+0.7726985208979217i
-0.5371725978920322-0.7726985208979217i
-0.6980198697897975+0.630011091734726i
-0.6980198697897975-0.630011091734726i
-0.6839922984971044+0.5011351757758667i
-0.6839922984971044-0.5011351757758667i
-0.8634593636255198+0.2852597985177031i
-0.8634593636255198-0.2852597985177031i
-0.7119871158873649+0i
-0.5965160405352885+0i
