-0.8288175195084269+0.2498757389307109i
-0.8288175195084269-0.2498757389307109i
1.000000141889181+0i
0.8326522774441506+0i
0.6742059674950117+0.4079473234478375i
0.6742059674950117-0.4079473234478375i
0.4206990359019909+0.6699797820388098i
0.4206990359019909-0.6699797820388098i
0.1120071599374255+0.7738350530543067i
0.1120071599374255-0.7738350530543067i
-0.5174480269087256+0.6307902268934877i
-0.5174480269087256-0.6307902268934877i
-0.2162674002925277+0.715541753782279i
-0.2162674002925277-0.715541753782279i
-0.591885125505095+0i
-0.3688621699741594+0.4172642876891399i
-0.3688621699741594-0.4172642876891399i
0.4464493937730585+0i
0.01981573148220987+0.3470757151337326i
0.01981573148220987-0.3470757151337326i
-0.2057349279451262+0i
0.1909773266832231+0i
0.07520886603193176+0.1609837452575059i
0.07520886603193176-0.1609837452575059i
